Source,Area_or_Site,lat,lon,Elevation_m,FieldID,Abundance,Height_m,CanopyHeight_m,pictures,note,AI_ID,FinalID,Genus,species,datetime
Field Observations,MindoMirador,-0.020758,-78.761337,1718.0,,1,10.4,,,,,,,,2026-05-31 09:52:00
Field Observations,MindoMirador,-0.020658,-78.761368,1718.0,,1,10.8,,,,,,,,2026-05-31 09:57:00
Field Observations,MindoMirador,-0.020954,-78.7614,1715.0,,1,9.1,,,,,,,,2026-05-31 10:10:00
Field Observations,MindoMirador,-0.021424,-78.76165,1713.0,,1,16.7,,,,,,,,2026-05-31 10:39:00
Field Observations,MindoMirador,-0.021424,-78.76165,1713.0,,1,10.2,,,,,,,,2026-05-31 10:39:00
Field Observations,MindoMirador,-0.021503,-78.761533,1708.0,,3,6.6,,,,,,,,2026-05-31 10:51:00
Field Observations,MindoMirador,-0.021511,-78.761606,1702.0,,3,5.2,,,,,,,,2026-05-31 10:54:00
Field Observations,MindoMirador,-0.0217,-78.761618,1699.0,,1,12.3,,,,,,,,2026-05-31 11:05:00
Field Observations,MindoMirador,-0.0217,-78.761618,1699.0,,1,12.1,,,,,,,,2026-05-31 11:05:00
Field Observations,MindoMirador,-0.021641,-78.76159,1700.0,,1,3.0,,,,,,,,2026-05-31 11:11:00
Field Observations,MindoMirador,-0.021969,-78.761696,1692.0,,1,8.1,,,,,,,,2026-05-31 11:26:00
Field Observations,MindoMirador,-0.022024,-78.761727,1691.0,,5,5.5,,,,,,,,2026-05-31 11:28:00
Field Observations,MindoMirador,-0.022098,-78.761743,1693.0,,1,4.0,,,,,,,,2026-05-31 11:31:00
Field Observations,MindoMirador,-0.02305,-78.762229,1657.0,,1,10.2,,,,,,,,2026-05-31 11:48:00
Field Observations,MindoMirador,-0.023413,-78.76216,1643.0,,1,3.0,,,,,,,,2026-05-31 12:04:00
Field Observations,MindoMirador,-0.023413,-78.76216,1643.0,,2,3.0,,,,,,,,2026-05-31 12:04:00
Field Observations,MindoMirador,-0.020174,-78.761905,1707.0,,1,6.0,,,,,,Maxillaria,,2026-03-24 10:55:00
Field Observations,MindoMirador,-0.020122,-78.762915,1703.0,,1,2.4,,,,,,Maxillaria,,2026-03-24 11:17:00
Field Observations,MindoMirador,-0.020413,-78.763031,1702.0,,1,2.9,,,,,,Maxillaria,,2026-03-24 11:20:00
