Source,Area_or_Site,lat,lon,Elevation_m,FieldID,Abundance,Height_m,CanopyHeight_m,pictures,note,AI_ID,FinalID,Genus,species,datetime
Field Observations,Saloya,0.015295,-78.824122,1342.0,,5,1.6,,,range 1.5-1.7m,,,,,2026-05-30 10:16:00
Field Observations,Saloya,0.015288,-78.824076,1342.0,,2,1.75,,,,,,,,2026-05-30 10:19:00
Field Observations,Saloya,0.015246,-78.824135,1336.0,,1,0.1,,,,,,,,2026-05-30 10:48:00
Field Observations,Saloya,0.015342,-78.824147,1340.0,,1,0.4,,,,,,,,2026-05-30 10:51:00
Field Observations,Saloya,0.015241,-78.824057,1332.0,,1,1.1,,,,,,,,2026-05-30 11:01:00
Field Observations,Saloya,0.014697,-78.824303,1330.0,,1,50.0,,,,,,,,2026-05-30 11:26:00
Field Observations,Saloya,0.014514,-78.8241,1327.0,,1,8.5,,,,,,,,2026-05-30 11:40:00
Field Observations,Saloya,0.013642,-78.824211,1346.0,,1,1.55,,,,,,,,2026-05-30 12:03:00
Field Observations,Saloya,0.013741,-78.824251,1332.0,,1,6.5,,,,,,,,2026-05-30 12:08:00
Field Observations,Saloya,0.013244,-78.82442,1343.0,,1,1.1,,,,,,,,2026-05-30 12:36:00
Field Observations,Saloya,0.013205,-78.824429,1344.0,,3,9.0,,,,,,,,2026-05-30 12:48:00
Field Observations,Saloya,0.011656,-78.824586,1332.0,,1,1.2,,,,,,,,2026-05-30 13:55:00
Field Observations,Saloya,-0.020523,-78.761307,1717.0,,1,6.5,,,,,,,,2026-05-31 09:34:00
Field Observations,Saloya,-0.020523,-78.761307,1717.0,,1,6.45,,,,,,,,2026-05-31 09:34:00
Field Observations,Saloya,0.008553,-78.824713,1276.0,,1,4.0,,,,,,Maxillaria,,2026-03-24 16:11:00
Field Observations,Saloya,0.008641,-78.824511,1283.0,,1,7.6,,,,,,Maxillaria,,2026-03-24 16:15:00
Field Observations,Saloya,0.008934,-78.824791,1289.0,,1,6.5,,,,,,Maxillaria,,2026-03-24 16:24:00
Field Observations,Saloya,0.009832,-78.824755,1327.0,,1,3.3,,,,,,Maxillaria,,2026-03-24 16:38:00
Field Observations,Saloya,0.009929,-78.824688,1337.0,,1,2.8,,,,,,Maxillaria,,2026-03-24 16:43:00
