Source,Area_or_Site,lat,lon,Elevation_m,FieldID,Abundance,Height_m,CanopyHeight_m,pictures,note,AI_ID,FinalID,Genus,species,datetime,Identification,Confidence
Field Observations,Maquipucuna,0.123137,-78.629256,1292.0,NA,1,6.4,12,NA,NA,NA,Maxillaria porrecta,Maxillariinae ?,NA,2026-03-27T11:52:00Z,Maxillaria porrecta,"Medium - AI ID only, unverified (shared location)"
Field Observations,Maquipucuna,0.122072,-78.629323,1310.0,NA,1,2.1,14.7,98,range 1.2-3.0m,NA,Brassia arcuigera,Brassea,NA,2026-03-27T12:08:00Z,Brassia arcuigera,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.121695,-78.629609,1321.0,NA,1,1.4,13,101,foto 101,NA,Brassia arcuigera,NA,NA,2026-03-27T12:16:00Z,Brassia arcuigera,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.121542,-78.629735,1323.0,NA,1,2.5,7.7,101,foto 101,NA,Brassia arcuigera,NA,NA,2026-03-27T12:21:00Z,Brassia arcuigera,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.121497,-78.629857,1326.0,NA,1,3,6.8,109-113,range 2.5-3.5m,NA,Maxillaria amplifoliata,Morfoespecie,NA,2026-03-27T12:26:00Z,Maxillaria amplifoliata,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.12127,-78.630188,1329.0,NA,1,3.95,14,121,range 3.5-4.4m,NA,Maxillaria ecuadorensis,Maxillariinae,NA,2026-03-27T12:32:00Z,Maxillaria ecuadorensis,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.121317,-78.630227,1327.0,NA,1,2.1,16,NA,NA,NA,Maxillaria sp1,Maxillaria sp,NA,2026-03-27T12:35:00Z,Maxillaria sp1,High - expert-identified photo match (shared location)
Field Observations,Maquipucuna,0.121243,-78.630373,1331.0,NA,1,3.2,7.1,127,foto 127,NA,Maxillaria cryptobulbon,NA,NA,2026-03-27T12:39:00Z,Maxillaria cryptobulbon,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.121204,-78.630376,1328.0,NA,1,4.8,7.1,NA,NA,NA,Scaphyglottis prolifera,NA,NA,2026-03-27T12:42:00Z,Scaphyglottis prolifera,"Medium - AI ID only, unverified (shared location)"
Field Observations,Maquipucuna,0.121316,-78.631043,1326.0,NA,1,3.9,11.1,NA,NA,NA,Maxillaria porrecta,NA,NA,2026-03-27T12:46:00Z,Maxillaria porrecta,"Medium - AI ID only, unverified (shared location)"
Field Observations,Maquipucuna,0.121182,-78.631641,1329.0,NA,1,1,14,140,foto 140,NA,Maxillaria porrecta,NA,NA,2026-03-27T12:58:00Z,Maxillaria porrecta,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.120783,-78.63209,1340.0,NA,1,3.9,18,NA,NA,NA,Maxillaria porrecta,Maxillaria,NA,2026-03-27T15:01:00Z,Maxillaria porrecta,"Medium - AI ID only, unverified (shared location)"
Field Observations,Maquipucuna,0.12024,-78.632087,1337.0,NA,1,5.35,17.1,168-169,range 3.9-6.8m,NA,Maxillaria acutifolia,Maxillaria sp,NA,2026-03-27T15:10:00Z,Maxillaria acutifolia,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.12013,-78.632084,1340.0,NA,1,12.9,17.1,NA,NA,NA,Maxillaria acutifolia,NA,NA,2026-03-27T15:22:00Z,Maxillaria acutifolia,"Medium - AI ID only, unverified (shared location)"
Field Observations,Maquipucuna,0.12013,-78.632084,1340.0,NA,1,5.4,17.1,NA,NA,NA,Maxillaria acutifolia,NA,NA,2026-03-27T15:22:00Z,Maxillaria acutifolia,"Medium - AI ID only, unverified (shared location)"
Field Observations,Maquipucuna,0.12013,-78.632084,1340.0,NA,2,12.8,17.1,NA,NA,NA,Maxillaria acutifolia,NA,NA,2026-03-27T15:22:00Z,Maxillaria acutifolia,"Medium - AI ID only, unverified (shared location)"
Field Observations,Maquipucuna,0.120044,-78.632135,1341.0,NA,1,5.3,14,171,foto 171,NA,Maxillaria sp. B,NA,NA,2026-03-27T15:25:00Z,Maxillaria sp. B,High - expert-identified photo match
Field Observations,Maquipucuna,0.119953,-78.632248,1342.0,NA,1,7.8,15.4,174-176,foto 174-176,NA,Scaphyglottis prolifera,NA,NA,2026-03-27T15:33:00Z,Scaphyglottis prolifera,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.119953,-78.632248,1342.0,NA,1,7.7,15.4,174-176,foto 174-176,NA,Scaphyglottis prolifera,NA,NA,2026-03-27T15:33:00Z,Scaphyglottis prolifera,"Medium - AI ID only, unverified"
