id,g__coordinates,g__type,description,marker_color,name
n91UCyp4g0wXDGVS,"[-78.761337, -0.020758]",Point,"31 de mayo de 2026 a las 09:52 Altitud: 1718 msnm  Altura: 10,40 m  # individuos: 1  Fotos: 9767 - 9761",red,31 de mayo de 2026 a las 09:52
67YSxhhSHguHfODA,"[-78.761368, -0.020658]",Point,"31 de mayo de 2026 a las 09:52 Altitud: 1718 msnm  Altura: 10,80 m  # individuos: 1  Fotos: 9768 - 9771",red,31 de mayo de 2026 a las 09:57
JV5wnB0QBoR8kW5Q,"[-78.7614, -0.020954]",Point,"Altura: 9,10 m  Altitud: 1715 msnm  # individuos: 1  Fotos: 9774 9776",red,31 de mayo de 2026 a las 10:10
1U32crzONVJYleYS,"[-78.76165, -0.021424]",Point,"Altitud: 1713 msnm Altura: 16,70 m  # individuos: 1  Fotos: 9778 - 0781  Altura: 10,20 m  9787 - 9790",red,31 de mayo de 2026 a las 10:39
Eg8qxMvD2UUpJ9VG,"[-78.761533, -0.021503]",Point,"31 de mayo de 2026 a las 10:51 Altitud: 1708 msnm  Altura: 6,60 m # individuos: 3  Fotos: 9783 - 9786",red,31 de mayo de 2026 a las 10:51
d9B3Pqk1AZaeoduv,"[-78.761606, -0.021511]",Point,"31 de mayo de 2026 a las 10:54 Altitud: 1702 msnm  Altura: 5,2 m  # individuos: 3  Fotos: 9791 - 9793",red,31 de mayo de 2026 a las 10:54
484Xnhrx163pYWlO,"[-78.761618, -0.0217]",Point,"31 de mayo de 2026 a las 11:05 Altitud: 1699 msnm  Altura: 12,30 m   # individuos: 1  Fotos: 9803 - 9805   Otra  Altura: 12,10 m  # individuos: 1  Fotos: 9806 - 9807",red,31 de mayo de 2026 a las 11:05
EVqEPwfAcsCVkTwY,"[-78.76159, -0.021641]",Point,31 de mayo de 2026 a las 11:11 Altitud: 1700 msnm  Altura: 3m  # individuos: 1  Fotos: 9808 - 9810,red,31 de mayo de 2026 a las 11:11
65iROZrTlunNmmlA,"[-78.761696, -0.021969]",Point,"31 de mayo de 2026 a las 11:11 Altitud: 1692 msnm  Altura: 8,10 m  # individuos: 1  Fotos: 9813 - 9818",red,31 de mayo de 2026 a las 11:26
obwxQCiMvQK9nLRA,"[-78.761727, -0.022024]",Point,"Altitud: 1691 msnm  Altura: 5,5 m  # individuos: 5  Fotos: 9819 - 9821",red,31 de mayo de 2026 a las 11:28
yeOKTo6MHSuWFW0H,"[-78.761743, -0.022098]",Point,31 de mayo de 2026 a las 11:31 Altitud: 1693 msnm  Altura: 4 m  # individuos: 1  Fotos: 9823 - 9831,red,31 de mayo de 2026 a las 11:31
CzRzGUOTUP0UjxO6,"[-78.762229, -0.02305]",Point,"31 de mayo de 2026 a las 11:48 Altitud: 1657 msnm  Altura: 10,20 m  # individuos: 1  Fotos: 9832 - 9836",red,31 de mayo de 2026 a las 11:48
ekuBBK2n7sojXo6y,"[-78.76216, -0.023413]",Point,31 de mayo de 2026 a las 12:04 Altitud: 1643 msnm  Altura: 3 m  # individuo: 1  Fotos: 9839 - 9842   Otra (misma rama):  # individuos: 2  Fotos: 9843 - 9845,red,31 de mayo de 2026 a las 12:04
