id,g__coordinates,g__type,description,marker_color,name,stroke
Ifer8oroitIxUP62,"[-78.824122, 0.015295]",Point,"30 de mayo de 2026, 10:16 Altitud: 1342 msnm Altura: 1,50 - 1,70 m # individuos: 5  Fotos teléfono: 6554 - 6555",red,"30 de mayo de 2026, 10:16",
tdaQnVTv5z1hBi66,"[-78.824076, 0.015288]",Point,"30 de mayo de 2026, 10:19 Altitud: 1342 msnm  Altura: 1,75 m Fotos teléfono: 6556 - 6559 Individuos #: 2",red,"30 de mayo de 2026, 10:19",
9tzDEyNQpy0rEYKI,"[-78.824135, 0.015246]",Point,"30 de mayo de 2026, 10:48 Altitud: 1336 msnm  Altura: 10cm # individuos: 1  Fotos teléfono Thais: 1259 - 1264",red,"30 de mayo de 2026, 10:48",
Zb3YVGKIHxzb58rx,"[-78.824115, 0.015275]",Point,,red,Saloya Track,
8mAxlmm9cvjNytAQ,"[-78.824147, 0.015342]",Point,"30 de mayo de 2026, 10:48 Altitud: 1340 msnm Altura: 40cm  # individuos: 1 Fotos teléfono Thais: 1255 - 1258",red,"30 de mayo de 2026, 10:51",
Dz3g0TTvrLesk1jd,"[-78.824057, 0.015241]",Point,"30 de mayo de 2026, 10:48 Altitud: 1332 msnm  Altura: 1,10 m  # individuos: 1  Fotos: 9641 - 9649; 9654 Fotos teléfono Tatiana: 6570 - 6574",red,"30 de mayo de 2026, 11:01",
BubVdnHQY8LnFGmA,"[-78.824303, 0.014697]",Point,"30 de mayo de 2026, 10:48 Altitud: 1330 msnm  Altura: 50m  # individuos: 1  Fotos Thais: 1275 - 1276",red,"30 de mayo de 2026, 11:26",
1QixOr9pgIq3VGd6,"[-78.8241, 0.014514]",Point,"30 de mayo de 2026, 11:40 Altitud 1327 msnm  Altura: 8,5 m  # individuos: 1  Fotos: 9661 - 9664",red,"30 de mayo de 2026, 11:40",
xEs1eHKQSUCGEHtB,"[-78.824211, 0.013642]",Point,"30 de mayo de 2026, 12:03 Altitud: 1346 msnm  Altura: 1,55 m  # individuos: 1  Fotos teléfono Thais: 1284 - 1288",red,"30 de mayo de 2026, 12:03",
Rqx7VGodDfcD0jXz,"[-78.824251, 0.013741]",Point,"30 de mayo de 2026, 12:08 Altitud: 1332 msnm  Altura: 6,50 m # individuos: 1  Fotos: 9671 - 9676",red,"30 de mayo de 2026, 12:08",
FVdAslfQXT4JFAYS,"[-78.82442, 0.013244]",Point,"30 de mayo de 2026, 12:08 Altitud: 1343 msnm  Altura: 1,10 m  # individuos: 1  Fotos Thais: 1291 - 1295",red,"30 de mayo de 2026, 12:36",
5Vuff2IOzoEXGop8,"[-78.824429, 0.013205]",Point,"30 de mayo de 2026, 12:48 Altitud: 1344 msnm  Altura: 9m  # individuos: 3  Fotos: 9715 - 9718",red,"30 de mayo de 2026, 12:48",
zyHBnfJ207HQh6ax,"[-78.824441, 0.01271]",Point,,red,"30 de mayo de 2026, 13:07",
4hEl9S4qUGc7IHS3,"[-78.824586, 0.011656]",Point,"Altitud: 1332 msnm  Altura: 1,20 m  # individuos: 1  Fotos Thais: 1312 - 1313",red,"30 de mayo de 2026, 13:55",
UIRtOQM4XS0iEHbN,"[-78.761307, -0.020523]",Point,"31 de mayo de 2026 a las 09:34 Altitud: 1717 Altura: 6,50 m  # individuos: 1 Fotos: 9752 - 9746   Otra Maxilaria  Altura: 6,45 m  # individuos: 1 Fotos: 9753 - 9760",red,31 de mayo de 2026 a las 09:34,
NpbHAOav09G98zLH,"[[-78.826596, 0.008121], [-78.82669, 0.008122], [-78.826653, 0.008218], [-78.826559, 0.008271], [-78.82641, 0.008289], [-78.826198, 0.008201], [-78.826133, 0.008335], [-78.826142, 0.008431], [-78.826063, 0.008376], [-78.826, 0.008552], [-78.825913, 0.00858], [-78.82592, 0.008686], [-78.825841, 0.008732], [-78.825834, 0.008842], [-78.825862, 0.008928], [-78.825852, 0.009081], [-78.825763, 0.009042], [-78.825716, 0.008961], [-78.825644, 0.008842], [-78.825455, 0.008784], [-78.8254, 0.008686], [-78.825304, 0.008638], [-78.825171, 0.008653], [-78.825055, 0.00873], [-78.824955, 0.008624], [-78.824857, 0.008587], [-78.82476, 0.008596], [-78.824677, 0.008649], [-78.824549, 0.008643], [-78.824449, 0.00872], [-78.824573, 0.008784], [-78.824611, 0.008891], [-78.824708, 0.008857], [-78.824783, 0.00891], [-78.824777, 0.009], [-78.82476, 0.009109], [-78.824771, 0.009242], [-78.824773, 0.009343], [-78.824787, 0.009454], [-78.824711, 0.009691], [-78.824747, 0.009778], [-78.824721, 0.009909], [-78.824818, 0.009908], [-78.824727, 0.00994], [-78.824588, 0.009984], [-78.824499, 0.010015], [-78.824382, 0.01007], [-78.824324, 0.010203], [-78.824249, 0.010273], [-78.824334, 0.010374], [-78.824364, 0.010459], [-78.824336, 0.010548], [-78.82429, 0.010649], [-78.82427, 0.01074], [-78.824361, 0.010776], [-78.824317, 0.010868], [-78.824375, 0.010969], [-78.824304, 0.011028], [-78.824209, 0.011073], [-78.824117, 0.011098], [-78.824031, 0.011132], [-78.823941, 0.01112], [-78.82385, 0.011152], [-78.823743, 0.011164], [-78.823613, 0.011142], [-78.823801, 0.01118], [-78.823959, 0.011222], [-78.824119, 0.011232], [-78.824241, 0.011369], [-78.824333, 0.011387], [-78.824409, 0.011471], [-78.824475, 0.011537], [-78.824551, 0.011636], [-78.824533, 0.011739], [-78.824622, 0.011652], [-78.824777, 0.0117], [-78.824814, 0.011598], [-78.824953, 0.011668], [-78.825009, 0.01174], [-78.825103, 0.011787], [-78.824984, 0.011897], [-78.824897, 0.011959], [-78.824845, 0.011883], [-78.824817, 0.011974], [-78.824901, 0.012023], [-78.825006, 0.011996], [-78.824756, 0.012102], [-78.824779, 0.012205], [-78.824714, 0.012291], [-78.824649, 0.012355], [-78.824615, 0.012476], [-78.824466, 0.012512], [-78.82447, 0.012651], [-78.824392, 0.012788], [-78.824371, 0.012968], [-78.824424, 0.013058], [-78.824423, 0.013184], [-78.824429, 0.013303], [-78.824379, 0.013414], [-78.824255, 0.013446], [-78.824111, 0.013503], [-78.824214, 0.013555], [-78.824236, 0.013668], [-78.824213, 0.013788], [-78.824163, 0.013949], [-78.824009, 0.014033], [-78.82407, 0.014235], [-78.824086, 0.014362], [-78.824151, 0.014495], [-78.824058, 0.014696], [-78.82403, 0.014825], [-78.824078, 0.01467], [-78.824182, 0.01469], [-78.824285, 0.014713], [-78.824373, 0.014773], [-78.824348, 0.014877], [-78.8243, 0.014962], [-78.824294, 0.015066], [-78.824222, 0.015143], [-78.824143, 0.015207], [-78.824088, 0.015343], [-78.824007, 0.015429], [-78.823931, 0.015492], [-78.82386, 0.015576], [-78.82377, 0.015669], [-78.823717, 0.015755], [-78.823707, 0.015658], [-78.823736, 0.015619]]",LineString,,,Saloya Track,#3C8C3C
